,rev_date,rev_title,rev_type,rev_rating,rev_par
10,November 2020,Rude and discriminating!,NA,10,Went here today for a seminar to the property they unfortunately also own. I went here with my father who drove me to this place. He (pay) parked his car at the basement and planned to wait for me at the hotel's restaurant as a customer who can afford and will definitely be paying. We were highly discriminated for being a client of their low-cost project. Staff were assertive about our presence inside the hotel and kept asking where are we from and why are we there. They wouldn't even let us use the elevator despite of being a customer at the restaurant. We're supposed to have dinner there but was too pissed that we just left. My father was impressed by the hotel's interiors and suggested that our family should try the place out which I immediately dismissed. I suggest if they
11,September 2020,Balanced review,NA,30,"Great location if you have to be in or near Ortigas Center. Conveniently located next to convenience stores and small restaurants. Good for a short stay. Due to the Coronavirus lockdown, we got stuck at the facility for nearly seven months.  The best department was the Housekeeping department. Thank you for keeping our rooms sparkling clean. One of the best housekeeping departments I have ever seen. The next department worth a mention was the Food & Beverage department who were at times extremely challenged to provide both a room delivery and a dine-in service. Food quality and quantity was not the best at times nor the mannerisms of the staff to elicit tips but they managed to pull it off. Now for the bad: The hotel is old and like most old hotels has a thin veneer of make-up"
12,March 2020,Review,NA,50,"Nice place with good food, good staff specially Nina she is very accommodating ang friendly and the very jolly bartender Hope I'll surely come back because of them. Keep up the good work guys!! Godbless 😊"
13,February 2020,Big room,NA,40,"Mine was a one bedroom, room is spacious and facilities is good. They don’t have bottled water, tap has a switch that will give filtered drinking water, which is good, environmental friendly. Gym has standard equipment, just that it closes too early at 9pm. If you want to use it, you can still use it, just sign indemnity form. Breakfast selection is not a lot like other 4-5 star hotels. Food is salty but it’s expected in Philippines. Coffee is mediocre, I asked for cappuccino and they wants to charge which is not good. "
14,March 2020,No parking slot for hotel guest,NA,10,"I cannot believe this hotel does not have parking slot for hotel guests (apparently, it’s on a first come- first serve basis... WTF?!?). They don’t even have  valet services and they’re asking me to use the public parking outside the hotel!!!!"
15,February 2020,Comfortable and convenient ,NA,50,"Great room-comfortable bed, good shower, handy kitchenette. Service was impeccable, from housekeeping to laundry to bar/restaurant. Especially liked the washer/dryer combo in the room, which was convenient for items you don’t wish to send out. Kettle was used for tea dai!"
16,January 2020,Complete Room Amenities,NA,50,"I loved that the room had its own kitchen with the complete equipment and utensils, including its manuals neatly filed in a clear book.  The ref was a big one, not those bar refs.  It had a comfy sofa which can also be used for sleeping by a third guest.  The cabinets were spacious.  More importantly, it had a fully automatic washing machine.  Elevator was fast, not too many guests, I think, since it was a wednesday-thursday stay.  Only concern was the ongoing construction nearby which created noise during the wee hours of the morning."
17,December 2019,WE LOVE THE BREAKFAST,NA,50,"We had our Christmas celebration with friends here. Each of pair booked Premier Rooms ---- highly recommended. Walking distance to a good mall (The Podium), mini stop and 711  We love the breakfast. Its not overwhelming, and its unlimited YAKULT! We did not use the pool, but its okay. We are really checked in for a Christmas Get Together Staycation, and location is perfect for everyone.   Thanks to the staff! :)"
18,January 2020,Work trip,NA,30,"The joy-nostalg is a generally nice hotel, all the staff are friendly and accommodating. Rooms are large and similar to a one bedroom apartment. The 6th floor is where breakfast is as well as the space for lunch, dinner and the bar. It is an open space and on one end is a smoking lounge. Because of the door opening and closing constantly, the whole room smells of smoke and gives you a headache. The smoke smell can be very sensitive to particular people. It would be great if this could be managed better to contain the smoke so the people in the food area do not have to experience it or move the location to outside the hotel. Overall, nice hotel and nice staff but the smoke smell on the 6th floor is tough, especially for someone that is on that floor constantly for meetings."
19,January 2020,My stay was exellent except for some facilities that needs improvement,NA,40,"My stay was exellent except for some facilities that needs improvement:  We stayed at Room 2304  1. Sink giving off bad odor - When we got there, the sink was giving off foul smell. We have reported it to the staff. What they did the first time they went to our room to fix the problem was just to spray on the whole room to eliminate the bad odor but it didn't go away. so We called the staff the second time and they declogged the sink i guess but the odor did not went away. Bad experience.  2. TV wifi didn't work - the staff sent 2 technicians but wasn't able to fix the problem hence we did not enjoy wifi connection for the TV "
20,January 2020,Excellent!,NA,50,"As always, our stay was marvelous and everything was perfect! The staff catered to all our needs and the amenities were well-maintained. Breakfast was also excellent and the choices were extensive. We will be sure to return!"
21,January 2020,Wonderful stay,NA,50,"My first time to visit this hotel. The hotel room is spaceous and very clean. The people are very welcoming. I remember the smile of Micher from the reception. She was so nice. I'd like to thank Mark too. He was very helpful with my husband with the bags we have left after a dinner outside. Special mebtion to Russel, the housekeeping attendant. He helped us with the gas stove. Thank you Joy Nostalg. I will certainly go back to this hotel no only because of the hotel but mainly because you can feel a home away from home because of the people in this hotel."
22,December 2019,"Almost ideal, except...",NA,40,"Booked a room for 2 adults and 1 child on New Year's eve. I thought we could check-in online bcoz the email from Joy Nostalg says ""Check-in online by 11am on Tuesday."" And so I waited till it was 11am so I can check-in online. Unfortunately, the email I got from them was misleading... the online check-in ends at 11am pala! And so, we were forced to drop by at the hotel first thing so we can check-in, before going to Megamall to buy something. Pero good thing na rin that we arrived early at the hotel by 12 noon bcoz check-in was a breeze and there's already an available room for us! And so we were checked-in early and, to our surprise, our room was so spacious and has complete in-room and kitchen facilities! The king-size bed was so soft and comfy. We loved it soo much bcoz its"
23,December 2019,A staycation treat,NA,40,"It is always a nice treat to stay at Joy Nostalg and this stay was just as good as other stays my family had with them in the past.  We stayed at a 1 bedroom suite which was roomier than most suites within the Metro.  The room was clean and staff has been great.  We did have an issue with the bathtub where the faucet was leaking but after a quick call to guest services, they had someone from their maintenance team fix it within 30 minutes.  What I love a lot about this hotel is that it is very near The Podium mall (walking distance).  So you can stay at the hotel and if you want to go around, the mall is always a good place to hang out.  Overall, a good place to have a staycation with the family."
24,December 2019,4-star comfort to paradise,NA,40,"I was amazed by the interior, decors and design of the entire hotel. But what saddens me is the receptionist service. Three receptionists whom I have approached to were not consistent in giving information such as parking ticket fee, voucher privileges and additional head count for breakfast meal. Upon check out, I did clarify this with one of the receptionists and advise them about the misleading infos when giving to guests."
25,December 2019,Complaint,NA,40,"During our stay last December 24, 2019 occupants beside our room was having a party (I think) and is making a loud noise. I understand that its holiday and Christmas but its already 3am in the morning.   Me and my family did not enjoyed our sleep as we normally do during our stay"
26,December 2019,Parking was Abysmal,NA,30,"I’ve always enjoyed my previous stays in Joy Nostalge in Pasig City.  This year however was very unsatisfactory.   We arrived an hour early to have our car parked by valet an hour in advance of the designated check in time.   We were told that paling was full.  Thinking that maybe it’s because we are too early, we parked our car temporarily in the nearby mall.  However by 7pm, the situation was still the same.  When we complained to the front desk, her curt answer was “our policy for parking is first come first served”.  Totally ridiculous. I was forced to bring my car back to the house and just too a cab to go back to the hotel.  It didn’t feel like  a “staycation” "
27,November 2019,Awesome facilities,NA,50,"The hotel was booked for a conference and I was given a suite with two bedrooms, kitchen, living room, three TVs, Two Bathrooms etc etc. The facilities were excellent and the breakfast was great. But the most striking one was the personal care taken by the crew. When I was having breakfast, I took an egg from the Buffet thinking that it was hard boiled but it was raw. When I saw that I was mistaken, I just shrugged and left it. By magic, two boiled eggs were by my side, the next minute. One of the waiters had noticed my expression and he brought the eggs to my table immediately. The next day when I was seated, he said, "" I will bring you some boiled eggs Mam"" and brought them without even my asking."
28,December 2019,re: A wonderful Hotel.,NA,50,    The room with the bathroom i stayed in were very clean. The hotel personnel are very attentive & very helpful. The internet service was very good. Breakfast at the restaurant was not only myriad but plentiful.
29,December 2019,Awesome Accommodation,NA,50,"Great location, very close to shopping and other amenities.  Stayed in Executive One Bedroom with separate dining and living room.  It's like home away from home.  Will definitely stay again when I go back for a visit."
30,December 2019,Overall service is 1 star!!!!,NA,20,"For fur parents, we highly recommend this place. But for family staycation or special occasions, NO. Great place with spacious rooms with great room amenities (condo like rooms) Hospitality service of this hotel/ seevice apartment is a 1 star for us. Valet personnel took 25 mins to get  the car, we came down to the lobby earlier coz we want to leave early for us not to ve late with our appointment, but because of the delay with the valet service, we travelled late. Take note, we are the only guest waiting at the lobby for the valet service. Their reason, it was gotten from Basement 7. (okay, pagmukhain nyo kaming tanga) Next, parking space is a first come first serve basis not to mention, maliit parking spaces nila. Isang maling park, di ka na makakalabas ng sskyan mo. Parking"
31,December 2019,Great stay at Joy Nostalg,NA,50,"We got a 2 bedroom suite and the room was spacious, with comfortable beds and a large main bathroom plus one smaller bathroom.  The kitchen is fully equipped and the TV has its own speaker system.  Breakfast was very good and had the most number of vegetable / vegetarian options I've seen compared to other hotels in the city.  Location is excellent, walking distance to Podium if you want to go shopping or need to buy some essentials.  Staff are friendly and helpful.  I would say that it's the best value for money hotel in the area, especially if you have a large family and need a bigger space.  Would definitely recommend."
32,December 2019,Pleasantly surprised. But disappointed with lack of parking,NA,40,"Arrived late at night to a guard who said that parking is full and just shrugged when I ask what we do about it. Afterwards, he just told me to park in another building across the hotel.  Good thing everything else about the hotel made up for that poor attitude by the guard. Front desk staff courteous and efficient. Rooms were clean and spacious. Beds and pillows so comfortable. Ordered room service for breakfast and it was delicious. "
33,December 2019,Truly a Second Home,NA,50,"The Joy Nostalg Manila is truly the epitome of a five star hotel. The rooms are enormous with a lot of amenities such as a washer/dryer, dish washer, and much more. The staff are truly welcoming and hospitable. The will tend to your every needs regardless of the time of day. I had the privilege of staying at this hotel for 174 days and I would like to conclude the staff are extremely consistent with their services.   The front desk staff exhibits a positive energy that has the ability to rejuvenate anyone’s dreadful day. Their friendly smiles and sincere greetings can melt the negative energy right off a person.   I can still remember a friendly tall jolly front desk fellow by the name of Jon. It was approximately 9:00 P.M. and there were at least 13 people waiting in line. Jon"
34,December 2019,1 night is not enough,NA,50,we stayed last Saturday. the lobby is just ok. nice front office people. the room is very nice!   - big bed. with soft pillows!  - big tv.   - the ref was around 8-9cuft. which is way more than enough for your needs. even if you plan to stay for 1 month. you can easily buy food from the nearby mall  - there is a microwave - there is a convection oven. sadly was not able to use - there is also an induction cooker.  - nice surprise was there are utensils to use for simple cooking. sadly you have to bring your own dining utensils. also plates & cups. though it is easy to remedy as you can just buy them in the mall.  - the toilet is basic but nice. towels are thick and nice to use.  - closet has an iron & ironing board. but the bathrobe has one torn pocket.  - love the sofa & big
35,December 2019,Perfect Room = Perfect Holiday,NA,50,The Two Bedroom Suite was big and beautiful. This is definitely a memorable holiday escape. We would like to thank the management for accommodating all our requests. Special mention to the peeps at Nostalgia for giving us some cooking oil. We ran out of supply but they where kind enough to help us. Everyone was nice and warm. These little gestures go a long way.  
36,December 2019,had an amazing week,NA,40,"rooms were huge! as in huge! 😍😍😍 loved the tv infront of the tub ❤️ a dishwasher and washing machine!! impressive 😀😀😀 indoor pool was super nice too! breakfast...so much choices! and yummy too! only problem was, there were only a few servers and u have to wait for a long time for your coffee or hot choco :( "
37,December 2019,Almost great.,NA,30,"Room, buffet and location is great! However, I waited 30minutes or more for just a simple cappuccino and Cafe latte order. They completely forgot about me and had to reorder it again. I felt bad especially I was with a client. An opportunity that I know can be improve. "
38,December 2019,Perfect for convention ,NA,50,"Is currently staying at a one bedroom suite at joy nostalg hotel for convention. They have 229 rooms and suites and a one bedroom suite is about 86 square meters and has complete amenities that you see in a one bedroom condominium such as kitchen, microwave oven, large refrigerator, washing machine, large drawers and closet and large and separate shower and tub shower. Complimentary 2 bottled water, complimentary toiletries, complimentary parking, complimentary buffet breakfast at nostalg restaurant at 5th floor. All for about 6,000 pesos a day. "
39,June 2019,Amazing hotel and friendly staff!!,NA,50,I stayed at this hotel for 3 months while away on business and the hotel was amazing. The staff made me feel like home especially being there for 3 months. Don was one of the most friendly staff members and always treated me with smiles and laughter. He made my experience that much more pleasant.
40,April 2019,A wonderful experience made better by a fantastic team,NA,50,"My wife and I stayed at the Joy Nostalg for 7 months whilst undertaking a business assignment in Manila. It was a wonderful experience from start to finish. The team who work there are wonderful, from Carlo, Mark and Sam on the lobby desk, Abi in customer experience, CJ the room attendant and Johnson at the rooftop bar, nobody could have done any more to make it feel like home.   I would love the Joy Nostalg to consider optimising the roof space during the day to cater for guest who crave the outdoors as there is little space to sit out locally. I think the roof bar could double up as a day time leisure area too,  All in all, a fabulous experience made better by a wonderful team of accommodating staff.   Thank you Joy Nostalg."
41,November 2019,Problems That Were Resolved,NA,50,There were various situations and problems that were resolved by the staff.  The JNM staff were very pleasant and did everything possible to resolve my issues.  I highly recommend this facility and will stay there again.
42,November 2019,Loved it,NA,50,"I was in Manila for a work trip and was booked into Joy-Nostalg for a 3 week stay. Having not been told anything by my fellow colleagues, I had no idea what kind of place I was being sent to. Well, it turns out that this is a bloody awesome hotel. I was I a single bedroom and it was massive. When I wasn’t at work or out shopping I was just hanging out in the pool or spa loving life. The WiFi was fantastic and much better than the 4G I was using. The first week I was just ordering room service each night, though at the end of the first week I decided to eat upstairs in the restaurant on the 6th floor or the roof top bar (both were amazing). The staff are all super friendly and will go well out their way to help you with what ever you need. Most nights (room service or the"
43,November 2019,Excellent and Friendly Staff,NA,50,All of the staff are friendly and accommodating specially the receptionist Mark who helped out on our convenient stay. I highly recommend this hotel! It’s really clean and safe. The price for the stay and food are all worth it. We’ll definitely comeback! :)
44,November 2019,People are making the difference,NA,50,"When you book a room in one of the Accor accommodations you have expectations, especially when they highly recommend this place on their site. So I was not impressed when the reception helped me with all my questions in perfect English, the room was spacious and clean, I had fast internet, complete breakfast, most tasteful and fresh buffet for diner, perfect prepared cocktail, ...  The only reason I do the effort to write this review is because of the staff in general; Nikko and Hope in specific. They made my stay very enjoyable! Thanks gentlemen and I realy hope your managers are reading the reviews."
45,October 2019,Still my home away from home but...,NA,40,"I’ve been staying here whenever I’m in Manila since 2014 and consider this as my home away from home. There’s just something about Joy Nostalg that makes me less homesick. The convenience to major malls, places to see and things to do can’t be beat. One of the factors I stay is the service, the staff is really great and I feel taken cared of. I see familiar faces which is comforting to me.  I love the breakfast buffet on the 6th floor and pleasantly surprised to find Filipino breakfast fares such as tinapa, salted egg, longanisa and taho. Been requesting this in my previous reviews, glad to finally see them on the menu. Please include lugaw, bihon and tuyo in your repertoire.  The reason for the 4 stars is the place is showing its age. The furniture, the rug are all showing"
46,October 2019,Good pet friendly hotel,NA,50,We needed a place to stay as we relocated from Hong Kong with our small dogs. The hotel was excellent however when we needed to extend a few days they were fully booked.  A good location provided you dont mind walking a bit.  Staff and room very nice . 
47,November 2019,Great Stay,NA,40,Very easy to book and reserve. Our request for early check in and late check out was granted. Rooms was very clean and spacious. Housekeeping was very accommodating with our requests. Pool was heated and my kids enjoyed it.
48,November 2019,Very nice hotel with great staff.,NA,50,"Loved the place.  Huge rooms.  Good breakfast.  Really nice staff (Sandy, the duty manager was exceptional)......Highly recommended.    5 stars all the way, and terrific value.  I stayed in the one-bedroom, and seriously, this is the kind of place you could live in forever.  Two minor notes to the management to make the place even better.  1) Add more outlets near the bed.  There literally are none available, so you can't charge your phone at night if you want it next to you.  2) Add more chairs around the pool.  They're only a very few, and that would make the pool experience much better.  I'll come again.  Very very pleasant stay."
49,July 2019,"Nice room and spacious,, but it feels old and dark",NA,30,The amenities and equipment in the  are worth the money specially the washing machine. The room is spacious and nice but it feels old and dark specially in the hallway. But overall I enjoy my stay. Friendly staff and accommodating. See you soon!
50,October 2019,Superb Stay,NA,50,"Excellent customer service, you will feel like a king. The room I got (Executive Studio) is clean when I entered. Everything is working. You can even cook your own dish or wash your laundry. Breakfast is also superb. Lot's of Bacon, Eggs, Friend Rice, Breads, and other stuffs. They even have taho on their lineup."
51,October 2019,Still good,NA,30,"Still a good place to stay, but I  experienced some issues this time. Mold Spots in the shower cabin. The hotel replaced bottled drinking water by a water filter. The instruction claims that it removes bacteria. But my question to the Guest Service about the removal of chemical impurities in the drinking water was never answered. In both suites the thermostate of the air condition was not working. It was either on with full power and it became too cold. Or it was off and the room was too warm."
52,August 2019,JOYous Experience,NA,50,"This was the first time I had my quick dinner at Joy Nostalg. The food was served exactly on time. The staff are very accommodating, they were all efficient, helpful and friendly. The best service I have ever experienced. Service was truly excellent. Will definitely be back! Highly recommended!"
53,October 2019,Celebration time,NA,40,"My wife used her membership for an overnight stay cation and celebrate our son's birthday. This suite is quite impressive as with the ff factors: Near to podium mall and Robinsons galleria Ideal suite for a family with kitchen, washing machine a sofa and enough room for a family of 5 Indoor swimming pool Nice buffet breakfast on the 6th flr Ideal location for those who may want to have functions or seminar in Ortigas.  Overall it is great to stay here."
54,December 2018,Best pet-friendly hotel in the country,NA,50,"Was there several times with my parents and fur baby. I believe that this is the only one of the best pet-friendly hotels in the country, and even my little shih-tzu enjoyed our stay! Good food and staff service is great. Will be back again soon!"
55,September 2019,Enjoyable Stay,NA,40,Stayed here for one night for a birthday celebration. The staff were friendly and courteous. My request for a late check-out was granted. The room was spacious and comfortable. The breakfast venue is beautiful too. 
56,September 2019,Joyful at Joy Nostalg,NA,40,"Excellent customer service by all the hotel staff. The two bedroom suite is really spacious (131 sqm) with full kitchen. The bathroom of the master’s bedroom has bathtub, T.V. and in shower steam. The Beds and pillows are so comfy. I heared this is a pet friendly hotel. Buffet breakfast is great. We will definitely be back. 🙂"
57,September 2019,Great Big 2-bedroom suite,NA,50,stayed overnight on Sept 26-27 on a 2 bedroom suite under their anniversary promo.. Room is big & has all the amenities. Staff are generally friendly.  location is great just across ADB & a walking distance to Podium & Robinson's Galleria.  Value for money
58,September 2019,Great hotel for longer stays,NA,40,"I‘m staying at the Joy-Nostalg for about 3 weeks in both the one and two-bedroom suites. They are comfortable and well-priced, with very responsive front desk and housekeeping staff. The breakfast buffet keeps things interesting, with dishes rotating daily (even the layout seems to change often). The Filipino items at the restaurant are exceptionally tasty, the lechon and pork kare-kare at dinner especially.   Also appreciated is how they have live music in the bar, barbecues on the roof, weekly trivia nights, and other touches to help prevent boredom from creeping in on these long business trips. This month is the hotel’s 10th anniversary and they put on a 2-hour gin buffet at the bar (pictured) for about $15USD, which was amazing value and well organized. Thanks to all the"
59,September 2019,Absolute Luxury,NA,50,"I’ve traveled to 30+ countries, hundreds of cities and stayed in some of the nicest accommodations. The Joy Nostalg is probably the most beautiful experiences I’ve ever had in terms of accommodations 10/10. Couldn’t recommend it further. The very friendly staff, the delicious food, and of course the lovely manager of marketing Kyra showed us a fantastic stay! See you next time :)"
60,September 2019,Staycation ,NA,40,"I love the size of the room. It’s huge and clean. It has it’s own kitchen, dining and living room. The cut is like a 1 bedroom apartment unit.  The staff are all friendly. I have no complaint abt them. What i’m pissed about is the price of the Pancit.  I had lunch in the restaurant and ordered lechon kawali with rice and caffe mocha. The bill is just P600.  Dinner, i craved for pancit so i asked room service for pancit with lots of lemon. The price is P900 !? I can’t believe it.  It’s already served so i didn’t  have the chance to change my order. I ordered it without asking for the price. I just found out after.   For foreigners reading this, you wont understand why i’m so shocked with the price. It is only 1 plate good for 2 pax. I would accept if it’s around 400 to 500 hotel"
61,August 2019,Nice Staff,NA,50,"To Santi, Joy, Micher and Sam, these are the few people i met, thank you for all the accommodation. It was my birthday, You made my day. thats why i will always go back to your hotel. To the manager whom i  talk to on how he handle the situation thnaks. "
62,June 2019,Always a pleasant stay!,NA,50,"Great location in Ortigas! Large 1bdrm suite. Rooms were clean, odor free and comfortable.  Walking distance or quick drive via Grab to the Podium, MegaMall, Shangri-la plaza. Pool is just the right size for my son to get some laps in. Friendly and courteous staff."
63,August 2019,Great stay,NA,50,I really enjoyed the stay there. I stayed 3 nights and I put the no service sigh up - as it was so comfortable just  as it was - and it's better on the environment!! The Restaurant staff were great to - they just wanted to please every time. I'll return someday!  
64,August 2019,Awesome Service!!! Best Hotel Ever!,NA,50,From fast check in to check out assistance. Best amenities and clean spacious rooms and comfort rooms Sauna inside the shower! like WOW!!! and TV also... amazing!!! I Will surely and definitely come back!!!  
65,August 2019,Good service and friendly staff,NA,40,"Check-in very efficient. Room was large with a nice clean kitchen, lounge area, sleeping area,dressing area and bathroom. All very clean, if not a little dated. Food was ok but nothing special, however both the bar and restaurant staff were very attentive and friendly. Philippine body massage was fantastic in the hotel spa. Great location for business area with the SM Mall, Robinson’s Galleria and the Podium all within minutes walking distance and the Greenhills Shopping Mall a short taxi ride away. "
66,August 2019,Excellent first stay. Definitely wont be the last.,NA,50,Studio room was wonderful! Reservation team was accommodating when we advised of a late check in. Pamela at the front desk was very helpful in briefing us of what we need and ensured us of a smooth check in and check out. Room was very clean and Nostalgia service was top notch. Staff was courteous and friendly. Already considering to book during Christmas and New Year with family. Thank you for making our birthday stay memorable.
67,July 2019,Great location,NA,50,"Great location for this hotel, close to main location and offices. Amazing very large suites, the biggest I have stayed at. Staff were all friendly aswell as the security staff. Felt very safe at the hotel. Security staff always opened the door for me each day, this me feel good."
68,May 2019,Gold Class Experience,NA,50,"This is my favorite family staycation venue. Let me count the reasons why. First, almost all the staff greet me by first name basis which makes me feel highly valued and very welcome. Second, they always grant my requests like early or late check in, buckets of ice and other requests with utmost efficiency and warmth. I don’t have to ask twice, Third, topnotch facilities from the comfy beds to the fully equipped kitchen, laundry and bath tub which I only normally experience in suite rooms of expensive hotels. Fourth is the convenient location and proximity to three malls. And finally, what makes me book here always is th excellent overall experience which makes me cherish my gold status. Feels like am a platinum member even."
69,June 2019,"A hotel doesn't allow you to complain on anything, a perfect location overlooking ADB",NA,50,"You get a surprise when you open to a large suite room, it is actually a 1 BR apartment with all the amenities in place. You just need to cross the road to walk in to ADB HQ in Manila. The staff were very well trained and extremely professional. They never let you complain on anything, you just request your requirement, you will get it. The hotel has a nice restaurant. The breakfast was awesome, i could try all the local food in my 5 days stay and the chef guided me on those local dishes as well. The bathroom has even a steam option. Th reception staff are extra careful of the guests and their security. I strongly recommend this hotel for traveller's visiting ADB. The neighbourhood is also nice for local shopping malls and restaurants."
70,June 2019,A Gem in Ortigas,NA,50,"Stayed in a 1Br room for the night. Room was spacious, clean and staff was friendly. Short walk to the nearby mall (Podium) and across ADB. Tho more of a business hotel I don't mind spending a family weekend staycation due to its promixity to Megamall, Podium or Galleria.  They also have an indoor pool for your laps. Or for the kids to play in. "
71,June 2019,Literally your home away from home ❤️,NA,50,"We organized my dad’s 65th surprise bday party at the Greenhouse, one of the function rooms at The Roof (the hotel’s rooftop bar). -view was and still is amazing -food was great -staff were awesome (one of the best in all the hotels I’ve been to, including those in other countries) shout-out to Dunhill, Don, Kaye, and the rest of the staff who made sure my dad had a memorable celebration! He loved it!  We also stayed at their 2br and 3br suites, which is very spacious, clean, and well-kept. The staff had arranged for a small cake to welcome my dad once we checked-in. I think that the memorable things are in those small details, so thank you!  The hotel’s suites are spacious and well worth it given their price point. I have stayed here numerous times both with friends and family"
72,June 2019,"Old, dated, jam packed",NA,30,"Good: - we got a 2br suite and it was very spacious - had all the amenities needed for long staying guests or those who want to cook/do laundry. - comfortable beds & pillows - very near podium & megamall so its easy to do a quick run to the malls.  Not so good: - The rooms did not feel very clean, the interior is dated.  - When we checked in for the weekend, it was packed! The lobby looked like a market place, i was shocked. So if you’re looking for exclusivity and utmost privacy, forget it... - My son wanted to swim, when they went down to the pool, it was packed again! To the point where you question if its still hygienic to swim in the water given the number of people & kids. There were many individuals just hanging out there and it didn’t feel safe or relaxing - it felt like"
73,June 2019,Very Satisfied Customer,NA,50,We enjoyed staying at Joy-Nostalg that's why we're always looking forward to come back on the said hotel. One of the most memorable staff that I won't forget is Rael of Housekeeping. When we asked him to clean our room he was able to clean our room thoroughly. He is very friendly and very accomodating. Same with the woman in the front desk whose name is Joy. She amaze me because I did not ask for a cake when we checked-in. But she did ask me if we have a celebrant and I told him that it's my husband's birthday. When we arrived to our room I was so surprised that they have prepared a cake for him. She's so sweet! She really made my day. Kudos to the staff of Joy-Nostalg. We'll definitely come back. 
74,March 2019,Much improved from our last stay,NA,40,"Definitely a much improved stay, compared to our stay in 2018. Location is a plus for this hotel. Walking distance to the commercial area \ malls. Friendly and courteous front desk, concierge and staff. Still a relatively slower check-in vs. other hotels we have visited. Safe and secured. We asked for assistance to help our make-up artist come up to our room. Request for late check-out was granted as we were all preparing for our daughter's graduation ceremony at a nearby venue. Comfortable beds, clean bathrooms. Delicious breakfast buffet as always. Check-out process was faster."
